             w0  5.46371e+04  5.52447e+04
          Mnuw0  2.75384e+04  2.78519e+04
          w0Gam  2.73472e+04  2.77773e+04
       Mnuw0Gam  1.67617e+04  1.70272e+04
          Omkw0  1.86035e+04  1.88391e+04
       MnuOmkw0  1.14516e+04  1.15932e+04
       Omkw0Gam  1.29173e+04  1.31252e+04
    MnuOmkw0Gam  7.99814e+03  8.12732e+03
           w0wa  1.72762e+04  1.74692e+04
        Mnuw0wa  9.86651e+03  9.97015e+03
        w0waGam  1.10841e+04  1.12250e+04
     Mnuw0waGam  6.34669e+03  6.42539e+03
        Omkw0wa  1.30881e+04  1.32026e+04
     MnuOmkw0wa  7.45821e+03  7.52978e+03
     Omkw0waGam  9.80505e+03  9.93178e+03
  MnuOmkw0waGam  5.54025e+03  5.61262e+03
