             w0  5.46371e+04  6.07278e+04
          Mnuw0  2.75384e+04  3.06888e+04
          w0Gam  2.73472e+04  3.17559e+04
       Mnuw0Gam  1.67617e+04  1.94840e+04
          Omkw0  1.86035e+04  2.09913e+04
       MnuOmkw0  1.14516e+04  1.28789e+04
       Omkw0Gam  1.29173e+04  1.49892e+04
    MnuOmkw0Gam  7.99814e+03  9.28239e+03
           w0wa  1.72762e+04  1.92104e+04
        Mnuw0wa  9.86651e+03  1.08941e+04
        w0waGam  1.10841e+04  1.24806e+04
     Mnuw0waGam  6.34669e+03  7.12608e+03
        Omkw0wa  1.30881e+04  1.42170e+04
     MnuOmkw0wa  7.45821e+03  8.16852e+03
     Omkw0waGam  9.80505e+03  1.10342e+04
  MnuOmkw0waGam  5.54025e+03  6.24183e+03
